country,iso3,disasters,conflict,vuln,coping,deploy,pop,oda,recip,isd,ifrc
Albania,ALB,5.1,0.3,1.7,4.8,0,2,6,0,0,0
Angola,AGO,2,2.6,4.6,7.1,0,3,6,0,0,0
Antigua and Barbuda,ATG,3.7,0,1.7,3.5,0,1,1,0,0,0
Argentina,ARG,3.1,1.7,1.5,3.7,3,5,4,0,0,10
Armenia,ARM,3.8,0.1,3,5,0,2,6,0,0,10
Azerbaijan,AZE,3.8,0.5,4.6,5,0,3,4,0,0,0
Bangladesh,BGD,8.6,5,4.9,5.7,3,9,10,0,7,10
Belarus,BLR,1.8,1.3,1.2,3.4,0,3,4,0,0,0
Belize,BLZ,4.8,0,2.2,4.9,3,1,2,0,0,0
Benin,BEN,1.2,1.3,4.6,7.2,0,3,8,0,0,0
Bhutan,BTN,2.8,0.1,3.3,5,0,2,4,0,0,0
Bolivia,BOL,3.4,0.7,2.8,5.5,0,3,8,0,0,0
Bosnia and Herzegovina,BIH,3.8,1.8,4.8,4.6,3,2,8,0,0,10
Botswana,BWA,2.6,0.3,4,4.9,0,2,2,0,0,10
Brazil,BRA,3.7,3.6,2.5,4.1,0,9,9,0,0,10
Burkina Faso,BFA,2.4,2.7,6.8,6.4,3,3,9,0,0,0
Burundi,BDI,2.5,5.5,7,6.3,0,3,8,0,0,0
Cabo Verde,CPV,2,0.1,4,4.3,0,1,4,0,0,0
Cambodia,KHM,4.4,1.1,3.2,6.8,0,3,8,0,0,10
Cameroon,CMR,2.1,3.7,5.6,6,0,3,8,0,0,10
Chad,TCD,2.8,3.6,7.4,9,0,3,6,10,0,10
Chile,CHL,7.4,0.9,2.1,2.9,3,3,4,0,4,10
China,CHN,8.2,5.1,2.9,4,0,10,6,0,0,10
Colombia,COL,6.7,7,5.9,4.2,0,5,8,0,4,10
Comoros,COM,0.8,0.1,5.6,7.1,0,2,2,0,0,0
Congo,COG,1.9,0.2,5.1,7.5,0,2,4,0,0,0
Costa Rica,CRI,6.5,0.1,3,3,0,2,2,0,0,10
C̫te d'Ivoire,CIV,1.5,2.7,6,7.6,0,3,9,0,0,10
Djibouti,DJI,4.5,0.5,4.7,6.8,0,2,4,0,0,0
Dominica,DMA,3.3,0,2.9,3.4,3,1,1,0,0,0
Dominican Republic,DOM,6.6,1,2.2,4.8,0,3,4,0,0,10
Ecuador,ECU,7.1,0.2,3.9,4.5,0,3,4,0,0,0
Egypt,EGY,5,7,3.4,4.7,0,7,10,0,0,0
El Salvador,SLV,5.8,0.3,2.6,4.7,0,3,4,0,0,10
Equatorial Guinea,GNQ,1.3,0.2,3.3,7.5,0,2,1,0,0,0
Eritrea,ERI,2.9,2,5.6,7.9,0,3,4,0,0,10
Ethiopia,ETH,3.8,6.7,6.7,7.3,0,7,10,10,0,10
Fiji,FJI,5.7,0.1,2.4,4.2,0,2,2,0,0,10
Gabon,GAB,1.5,0.2,3,6.3,0,2,2,0,0,0
Gambia,GMB,1.4,0.1,5.5,5.4,0,2,4,0,0,0
Georgia,GEO,3.9,3.7,4.5,3.5,0,2,8,0,0,10
Ghana,GHA,1.3,1.2,3.7,5.4,0,5,9,0,0,0
Grenada,GRD,1.8,0,2.1,3.8,0,1,1,0,0,0
Guatemala,GTM,6.5,1.1,5.1,6,0,3,6,0,0,10
Guinea,GIN,3.1,3.9,5.1,7.6,0,3,6,0,0,10
Guinea-Bissau,GNB,1.7,0.6,6.6,7.9,0,2,2,0,0,0
Guyana,GUY,2.8,0.1,2.7,5.6,0,2,4,0,0,0
Haiti,HTI,6.1,2.7,6.3,7.6,10,3,9,10,10,10
Honduras,HND,5.9,1,4.2,5.4,0,3,8,0,0,10
India,IND,7.8,6.9,4.7,5.1,0,10,10,0,0,10
Indonesia,IDN,7.4,5.5,2.8,5.2,3,9,2,0,10,10
Jamaica,JAM,3.9,0.2,2.4,4.3,0,2,2,0,0,0
Jordan,JOR,2.8,1.3,6.1,4.4,3,3,9,10,0,10
Kazakhstan,KAZ,3.5,0.6,1,4,0,3,4,0,7,10
Kenya,KEN,4.2,7,6.1,6.6,0,5,10,10,10,10
Kiribati,KIR,4.7,0.1,5.2,6.5,0,1,2,0,0,0
Kyrgyzstan,KGZ,5.4,1.1,2.3,4.6,0,3,8,0,0,10
Lao PDR,LAO,4.4,1.1,3.8,6.5,0,3,6,0,0,0
Lebanon,LBN,4.1,4.8,6.9,4.3,0,2,8,10,0,10
Lesotho,LSO,2,1.3,5.3,6.6,0,2,6,0,0,0
Liberia,LBR,1.6,0.6,7.1,8,6,2,8,0,7,10
Macedonia FYR,MKD,2.8,1.3,2.7,3.7,0,2,4,0,0,0
Madagascar,MDG,5.7,0.7,4.2,7.9,0,3,6,0,0,10
Malawi,MWI,3.3,0.5,5.8,6.4,0,3,9,0,0,0
Malaysia,MYS,4.3,3.2,3.4,3.3,0,5,2,0,4,10
Maldives,MDV,3.4,0,1.8,4.1,0,1,2,0,0,0
Marshall Islands,MHL,3.6,0,5.5,6.7,3,1,2,0,0,10
Mauritania,MRT,4.5,2,5.7,7,0,2,6,0,0,0
Mauritius,MUS,3.2,0,2.1,3,0,2,4,0,0,0
Micronesia,FSM,3.9,0,4.8,6,3,1,4,0,0,0
Moldova Republic of,MDA,3.8,3.2,2.2,4.8,0,2,6,0,0,0
Mongolia,MNG,2.7,2,2.4,5.2,0,2,6,0,0,10
Montenegro,MNE,3.9,0.1,2.5,3.6,0,2,4,0,0,0
Morocco,MAR,4.3,1.1,2.8,5.1,0,5,9,0,0,0
Mozambique,MOZ,6,3,6.3,6.8,0,5,10,0,0,0
Myanmar,MMR,8.2,7,5.8,7,0,5,10,10,4,10
Namibia,NAM,3.2,0.6,4.7,5.5,3,2,6,0,0,0
Nauru,NRU,1.3,0,4.2,5.9,0,1,2,0,0,0
Nepal,NPL,5.5,2.5,5.1,6.1,10,5,8,0,10,10
Nicaragua,NIC,6.6,0.9,2.9,5.5,0,3,8,0,0,0
Niger,NER,3,3.8,6.8,7.9,0,3,8,10,0,10
Palau,PLW,2.2,0,3.2,5.1,0,1,2,0,0,0
Panama,PAN,5.5,1.2,3.2,4.4,3,2,2,0,7,10
Papua New Guinea,PNG,5.2,0.2,5.2,8.1,0,3,8,0,0,0
Paraguay,PRY,2.1,0.1,2.6,4.8,0,3,4,0,0,0
Peru,PER,7.6,1.3,3.4,4.7,0,5,6,0,10,10
Philippines,PHL,8.9,7,4,4.4,10,7,2,10,10,10
Rwanda,RWA,2.9,2.2,5.9,5.4,0,3,8,0,0,0
Saint Kitts and Nevis,KNA,3.1,0,2.7,2.9,0,1,2,0,0,0
Saint Lucia,LCA,3.2,0,2.3,3.7,0,1,2,0,0,0
Saint Vincent and the Grenadines,VCT,2.4,0,2.1,3.4,0,1,1,0,0,0
Samoa,WSM,1.3,0,3.9,4.4,0,1,4,0,0,0
Sao Tome and Principe,STP,0.1,0,3.8,5.7,0,1,2,0,0,0
Senegal,SEN,2.4,2.4,5.4,6.2,3,3,9,0,7,10
Serbia,SRB,4.6,1.7,4.6,4.1,0,3,8,0,0,0
Seychelles,SYC,2.4,0,2.7,3.6,0,1,2,0,0,0
Sierra Leone,SLE,1.2,2.7,5.6,7.1,3,3,6,0,0,10
Solomon Islands,SLB,6.4,0,6.4,7,0,2,6,0,0,0
South Africa,ZAF,3.5,2.2,4,4.6,0,5,9,0,7,0
Sri Lanka,LKA,5.3,3.4,4,4.4,0,3,6,0,0,10
Suriname,SUR,3,0,2.1,5,0,2,2,0,0,0
Swaziland,SWZ,1.8,0.8,4,5.6,0,2,4,0,0,0
Tajikistan,TJK,5.6,1.8,3,5.4,0,3,6,0,0,10
Tanzania,TZA,4,1.1,5.5,6.6,3,5,10,0,7,0
Thailand,THA,6.3,5.2,3.2,4.3,0,5,2,0,10,10
Timor-Leste,TLS,3.5,0.3,4.6,7.3,0,2,6,0,0,10
Togo,TGO,1.3,1.6,4.9,8.1,0,3,4,0,0,0
Tonga,TON,3.5,0,3.9,4.9,0,1,2,0,0,0
Tunisia,TUN,4.3,0.4,1.7,4.9,0,3,8,0,0,10
Turkey,TUR,5.9,6.7,4.9,3.3,0,5,10,0,0,0
Turkmenistan,TKM,4.5,1.3,2.4,6.5,0,3,2,0,0,0
Tuvalu,TUV,2,0,5.2,5.6,0,1,2,0,0,0
Uruguay,URY,1.1,0.8,1.9,2.9,0,2,2,0,0,0
Uzbekistan,UZB,5.9,2.8,1.8,4.4,0,5,6,0,0,0
Vanuatu,VUT,5.8,0,4.4,6.3,3,1,2,0,0,0
Venezuela,VEN,5.7,0.2,3.7,4.5,0,5,2,0,0,0
Viet Nam,VNM,7.3,3,1.9,4.6,3,7,10,0,10,10
Zambia,ZMB,2.1,1.8,5.7,6.3,0,3,9,0,0,0
Zimbabwe,ZWE,2.5,2.2,5.4,5.7,0,3,8,0,4,10
